IdExecMin,StrategyExec,App,AppFramework,AppTpFramework,DeviceConfig,SuiteTestCaseName,QttEventsMapping,Successful,TotalTime,QttExec,QttEventsExec,QttEventsExecSuccessful,QttEventsExecUnSuccessful,PercentageEventSuccessful,TotalTimeEventsSuccessful
1880,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,0,1649.0859375,1,2,1,1,20,446.296875
1883,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,0,7387.0703125,1,2,1,1,20,6198.28125
1886,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,0,0,1,1,0,1,0,0
1889,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,0,1523.0078125,1,2,1,1,20,361.2421875
1892,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,1,20197.4765625,1,5,5,0,100,14590.0546875
1895,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,0,1532.0234375,1,2,1,1,20,341.2421875
1898,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,1,20079.7734375,1,5,5,0,100,14375.09375
1901,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F3,5,0,0,1,1,0,1,0,0
1904,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,0,1540.0234375,1,2,1,1,20,404.28125
1907,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,0,4425.9453125,1,2,1,1,20,3287.1796875
1910,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,1,20070.0859375,1,5,5,0,100,14493.9375
1913,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,0,1561.0390625,1,2,1,1,20,420.28125
1916,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,1,20007.328125,1,5,5,0,100,14362.359375
1919,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,0,1541.8515625,1,2,1,1,20,396.2578125
1922,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,1,20702.859375,1,5,5,0,100,15042.9765625
1925,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F3,5,1,20015.34375,1,5,0,0,0,0
1928,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,32883.5234375,1,4,3,1,60,26599.8828125
1929,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,105098.328125,1,4,3,1,60,98770.234375
1930,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,0,1,1,0,1,0,0
1931,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,32635.375,1,4,3,1,60,26408.28125
1932,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,0,1,1,0,1,0,0
1933,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,32564.8671875,1,4,3,1,60,26349.8203125
1934,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,26339.5703125,1,3,2,1,40,22171.015625
1935,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,6476.4921875,1,2,1,1,20,4268.2265625
1936,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,35844.75,1,5,5,0,100,25880.4296875
1939,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,440096.21875,1,5,5,0,100,429766.9140625
1942,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,43549.2734375,1,5,5,0,100,30892.6171875
1945,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,43671.21875,1,5,5,0,100,30235.78125
1948,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,35774.4296875,1,5,5,0,100,25860.71875
1951,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,35579.2578125,1,5,5,0,100,25885.2734375
